source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source
cl	CL:0000000	cell	skos:exactMatch	mesh	D002477	Cells	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000010	cultured cell	skos:exactMatch	mesh	D002478	Cells, Cultured	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000023	oocyte	skos:exactMatch	mesh	D009865	Oocytes	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000025	egg cell	skos:exactMatch	mesh	D010063	Ovum	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000037	hematopoietic stem cell	skos:exactMatch	mesh	D006412	Hematopoietic Stem Cells	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000052	totipotent stem cell	skos:exactMatch	mesh	D039901	Totipotent Stem Cells	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000060	odontoblast	skos:exactMatch	mesh	D009804	Odontoblasts	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000081	blood cell	skos:exactMatch	mesh	D001773	Blood Cells	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000084	T cell	skos:exactMatch	mesh	D013601	T-Lymphocytes	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000092	osteoclast	skos:exactMatch	mesh	D010010	Osteoclasts	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000101	sensory neuron	skos:exactMatch	mesh	D011984	Sensory Receptor Cells	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000108	cholinergic neuron	skos:exactMatch	mesh	D059329	Cholinergic Neurons	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000109	adrenergic neuron	skos:exactMatch	mesh	D059331	Adrenergic Neurons	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000119	cerebellar Golgi cell	skos:exactMatch	mesh	D000080906	Cerebellar Golgi Cells	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000148	melanocyte	skos:exactMatch	mesh	D008544	Melanocytes	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000164	enteroendocrine cell	skos:exactMatch	mesh	D019858	Enteroendocrine Cells	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000171	pancreatic A cell	skos:exactMatch	mesh	D050416	Glucagon-Secreting Cells	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000178	Leydig cell	skos:exactMatch	mesh	D007985	Leydig Cells	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000197	sensory receptor cell	skos:exactMatch	mesh	D011984	Sensory Receptor Cells	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000207	olfactory receptor cell	skos:exactMatch	mesh	D018034	Olfactory Receptor Neurons	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000234	phagocyte	skos:exactMatch	mesh	D010586	Phagocytes	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000235	macrophage	skos:exactMatch	mesh	D008264	Macrophages	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000236	B cell	skos:exactMatch	mesh	D001402	B-Lymphocytes	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000255	eukaryotic cell	skos:exactMatch	mesh	D005057	Eukaryotic Cells	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000362	epidermal cell	skos:exactMatch	mesh	D000078404	Epidermal Cells	manually_reviewed	orcid:0000-0001-9439-5346
cl	CL:0000371	protoplast	skos:exactMatch	mesh	D011523	Protoplasts	manually_reviewed	orcid:0000-0001-9439-5346
